seed,score,lowestFaceDown,completedRuns,depth,nodes
71,-24505,40,0,4,979
75,-24505,40,0,4,1519
102,-24505,40,0,4,1734
138,-24505,40,0,4,1240
146,-24505,40,0,4,1020
155,-24505,40,0,4,2250
159,-24505,40,0,4,1956
167,-24505,40,0,4,1099
202,-24505,40,0,4,1203
203,-24505,40,0,4,652
239,-24505,40,0,4,1674
256,-24505,40,0,4,1865
313,-24505,40,0,4,1598
345,-24505,40,0,4,862
373,-24505,40,0,4,482
392,-24505,40,0,4,1812
393,-24505,40,0,4,504
426,-24505,40,0,4,1261
447,-24505,40,0,4,571
450,-24505,40,0,4,1532
462,-24505,40,0,4,718
488,-24505,40,0,4,1592
524,-24505,40,0,4,1136
598,-24505,40,0,4,1041
631,-24505,40,0,4,1483
682,-24505,40,0,4,2643
725,-24505,40,0,4,1581
745,-24505,40,0,4,616
761,-24505,40,0,4,561
785,-24505,40,0,4,1107
788,-24505,40,0,4,1177
826,-24505,40,0,4,1156
827,-24505,40,0,4,1803
848,-24505,40,0,4,973
855,-24505,40,0,4,760
872,-24505,40,0,4,1394
873,-24505,40,0,4,795
878,-24505,40,0,4,1019
908,-24505,40,0,4,1306
910,-24505,40,0,4,1441
940,-24505,40,0,4,1348
986,-24505,40,0,4,1800
904,-24620,40,0,5,1825
321,-24620,40,0,4,664
358,-24620,40,0,4,1603
360,-24620,40,0,4,1178
774,-24620,40,0,4,695
963,-24620,40,0,4,1743
163,-24900,40,0,5,1945
7,-25130,40,0,5,1890
494,-25130,40,0,5,2221
172,-25140,40,0,6,2294
978,-24795,41,0,5,1686
29,-24795,41,0,4,1176
278,-24795,41,0,4,578
9,-24795,41,0,3,868
11,-24795,41,0,3,501
14,-24795,41,0,3,424
18,-24795,41,0,3,480
24,-24795,41,0,3,1073
30,-24795,41,0,3,666
32,-24795,41,0,3,404
35,-24795,41,0,3,468
39,-24795,41,0,3,419
50,-24795,41,0,3,879
52,-24795,41,0,3,618
74,-24795,41,0,3,654
126,-24795,41,0,3,978
130,-24795,41,0,3,470
134,-24795,41,0,3,818
151,-24795,41,0,3,1184
184,-24795,41,0,3,571
192,-24795,41,0,3,515
195,-24795,41,0,3,649
204,-24795,41,0,3,639
214,-24795,41,0,3,1065
231,-24795,41,0,3,1739
244,-24795,41,0,3,559
247,-24795,41,0,3,635
251,-24795,41,0,3,495
252,-24795,41,0,3,356
261,-24795,41,0,3,469
263,-24795,41,0,3,1441
267,-24795,41,0,3,366
272,-24795,41,0,3,295
277,-24795,41,0,3,593
279,-24795,41,0,3,651
280,-24795,41,0,3,255
283,-24795,41,0,3,515
286,-24795,41,0,3,624
289,-24795,41,0,3,349
290,-24795,41,0,3,472
296,-24795,41,0,3,451
299,-24795,41,0,3,306
322,-24795,41,0,3,609
326,-24795,41,0,3,449
329,-24795,41,0,3,331
342,-24795,41,0,3,484
352,-24795,41,0,3,535
377,-24795,41,0,3,517
